second,Volt_1,Hertz,Volt_2
-9.53000E-03,+3.04020E-03,+1.735000E+03,+1.66972E-03
-9.52000E-03,+3.04020E-03,+1.740000E+03,+1.65019E-03
-9.51000E-03,-5.00000E-03,+1.745000E+03,+1.65019E-03
-9.50000E-03,+2.53769E-03,+1.750000E+03,+1.65019E-03
-9.49000E-03,-5.00000E-03,+1.755000E+03,+1.65019E-03
-9.48000E-03,-5.00000E-03,+1.760000E+03,+1.65019E-03
-9.47000E-03,-5.00000E-03,+1.765000E+03,+1.65019E-03
-9.46000E-03,+3.04020E-03,+1.770000E+03,+1.65019E-03
-9.45000E-03,+3.04020E-03,+1.775000E+03,+1.65019E-03
-9.44000E-03,+3.04020E-03,+1.780000E+03,+1.65019E-03
-9.43000E-03,+2.53769E-03,+1.785000E+03,+1.65019E-03
-9.42000E-03,-5.00000E-03,+1.790000E+03,+1.65019E-03
-9.41000E-03,+3.04020E-03,+1.795000E+03,+1.65019E-03
-9.40000E-03,-5.00000E-03,+1.800000E+03,+1.65019E-03
-9.39000E-03,-5.00000E-03,+1.805000E+03,+1.65019E-03
-9.38000E-03,-5.00000E-03,+1.810000E+03,+1.65019E-03
-9.37000E-03,+3.04020E-03,+1.815000E+03,+1.65019E-03
-9.36000E-03,+2.53769E-03,+1.820000E+03,+1.65019E-03
-9.35000E-03,+3.04020E-03,+1.825000E+03,+1.65019E-03
-9.34000E-03,+3.04020E-03,+1.830000E+03,+1.65019E-03
-9.33000E-03,-5.00000E-03,+1.835000E+03,+1.65019E-03
-9.32000E-03,+3.04020E-03,+1.840000E+03,+1.65019E-03
-9.31000E-03,-5.00000E-03,+1.845000E+03,+1.63066E-03
-9.30000E-03,-5.00000E-03,+1.850000E+03,+1.63066E-03
-9.29000E-03,+3.04020E-03,+1.855000E+03,+1.61113E-03
-9.28000E-03,+3.04020E-03,+1.860000E+03,+1.61113E-03
-9.27000E-03,+3.04020E-03,+1.865000E+03,+1.61113E-03
-9.26000E-03,+3.04020E-03,+1.870000E+03,+1.61113E-03
-9.25000E-03,+11.08040E-03,+1.875000E+03,+1.61113E-03
-9.24000E-03,+3.04020E-03,+1.880000E+03,+1.59159E-03
-9.23000E-03,+3.04020E-03,+1.885000E+03,+1.59159E-03
